Projekt;Phase;Bezeichnung;Status;Verrechenbar
2112;210;Analyse Prozesse/Organisation;A;J
2112;220;EINKAUF I+S;A;J
2112;225;LAGER I+S;A;J
2112;240;@CRM I+S inkl. TAPI;A;J
2112;289;@Sonst. Module I+S  rs2 ARCHIV, PostPRG;A;J
2112;290;@Unterstützung Echtbetrieb (GoLive);A;J
2112;300;*** REWE-Implement. - verrechenbar ***;A;J
2112;310;Analyse Prozesse/Organisation;A;J
2112;320;FIBU I+S;A;J
3101;280;Unterstützung Echtbetrieb (GoLive);A;J
3101;300;*** REWE-Implement. - verrechenbar ***;A;J
3101;310;Analyse Abläufe/Rahmenbedingungen;A;J
3101;330;Fibu-Einführung (Schulung, Impl.);A;J
3101;340;Kore-Einführung (Schulung, Impl.);A;J
3101;350;AVZ-Einführung (Schulung, Impl.);A;J
3101;380;Unterstützung Echtbetrieb (GoLive);A;J
3101;500;***variabel: keine vertragl. Planzeit***;A;J
3101;510;Altdatenübernahme;A;J
2112;330;@KORE I+S;A;J
2112;390;@Unterstützung Echtbetrieb (GoLive);A;J
2112;500;*** Sonstige Implement. verrechenbar*** ;A;J
2112;510;Altdatenübernahme;A;J
2112;515;Reports, Masken, rs2 Admin;A;J
2112;520;IMPL Schnittstellen zu Fremdsys. (EDI Pauschale);A;J
2112;530;@Kore-Konzept;A;J
2112;540;@EDI / MDE Strecken;A;J
2112;555;@INFO Module nach GoLive (zB. Statistik);A;J
2112;585;@Sonst. vertragl. nicht geplante Zeiten;A;J
2112;590;@Wegzeiten verrechenbar;A;J
3101;520;Schnittstellen;A;J
3101;530;Kore-Konzept;A;J
3101;590;Wegzeiten (für Phasen 0xxx - 4xxx);A;J
2902;001;Projektleitung;A;J
2902;002;Implementierung verr.;A;J
2902;003;Implementierung nicht verr.;A;J
2902;004;Consulting REWE;A;J
2112;230;VERKAUF I+S;A;J
3104;000;***** nicht verrechenbar *****;A;J
3104;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
3104;020;div. Tätigkeiten NV (für Phasen 1xx-5xx);A;J
3104;100;*** Allgem.-Implement. verrechenbar ***;A;J
3104;110;Planung/Projektleitung;A;J
3104;130;Installation;A;J
3104;140;Systemadmin/Schulung;A;J
3104;200;*** WAWI-Implement. verrechenbar ***;A;J
3104;210;Analyse;A;J
3104;220;Parametrisierung I;A;J
3104;230;Schulung;A;J
3104;240;Parametrisierung II;A;J
3104;280;Unterstützung Echtbetrieb (GoLive);A;J
3104;300;*** REWE-Implement. - verrechenbar ***;A;J
3104;310;Analyse Abläufe/Rahmenbedingungen;A;J
3104;330;Fibu-Einführung (Schulung, Impl.);A;J
3104;340;Kore-Einführung (Schulung, Impl.);A;J
3104;350;AVZ-Einführung (Schulung, Impl.);A;J
3104;380;Unterstützung Echtbetrieb (GoLive);A;J
3104;500;***variabel: keine vertragl. Planzeit***;A;J
3104;510;Altdatenübernahme;A;J
3104;520;Schnittstellen;A;J
3104;530;Kore-Konzept;A;J
3104;590;Wegzeiten (für Phasen 0xxx - 4xxx);A;J
